Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
BUENOS AIRES,Maipú,Santo Domingo,95,--,--,--,--,SI,SI,SI,SI,-367137597811284.0,-575860126519926.0
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,2877,SI,--,--,SI,--,--,--,SI,-344544550576034.0,-587062417407487.0
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,94441,SI,SI,--,SI,--,--,SI,SI,-344869935800875.0,-587286750953502.0
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,28780,SI,SI,--,SI,--,SI,SI,SI,-345004325972609.0,-586618050648717.0
BUENOS AIRES,San Fernando,San Fernando,74814,SI,SI,SI,SI,--,SI,SI,SI,-344473601745411.0,-585690015916776.0
BUENOS AIRES,San Fernando,Victoria,42703,SI,SI,--,SI,SI,SI,SI,SI,-344619820050413.0,-585595970877081.0
BUENOS AIRES,San Fernando,Virreyes,42768,SI,SI,--,SI,--,--,SI,SI,-344636240092728.0,-585761941633194.0
BUENOS AIRES,San Isidro,Acassuso,12902,SI,SI,SI,SI,SI,--,SI,SI,-344794018120083.0,-585074043996961.0
BUENOS AIRES,San Isidro,Beccar,59088,SI,SI,--,SI,--,SI,SI,SI,-344674159462571.0,-585400343502635.0
BUENOS AIRES,San Isidro,Boulogne Sur Mer,73842,SI,SI,--,SI,--,SI,SI,SI,-344983312888498.0,-585700137209729.0
CABA,COMUNA 04,NUEVA POMPEYA,42695,SI,SI,SI,SI,SI,SI,SI,SI,-346505501963997.0,-584188550090093.0
CHACO,San Fernando,Fontana,32027,--,--,--,SI,--,SI,--,SI,-274167127425858.0,-5904393778912.0
CHACO,San Fernando,Puerto Vilelas,8278,--,--,--,SI,SI,--,--,SI,-275106090846354.0,-58938994465923.0
CHACO,San Fernando,Resistencia,290723,SI,SI,SI,SI,SI,SI,SI,SI,-274521194584549.0,-589876174408016.0
CHACO,San Lorenzo,Samuhú,1251,--,--,--,--,SI,--,--,SI,-275222254234698.0,-603941746057505.0
BUENOS AIRES,Tandil,Desvío Aguirre,0,--,--,--,SI,--,SI,--,SI,-37.35,-59.0
BUENOS AIRES,Tandil,Gardey,532,--,--,--,SI,--,SI,SI,SI,-372823323375205.0,-593630004748452.0
BUENOS AIRES,Tandil,María Ignacia (Est. Vela),1948,SI,--,--,--,--,SI,SI,SI,-374029073074266.0,-595093354449092.0
BUENOS AIRES,Tandil,Tandil,116916,SI,SI,SI,SI,SI,SI,SI,SI,-373238849060878.0,-591310691770429.0
BUENOS AIRES,Tapalqué,Crotto,247,--,--,--,--,--,--,--,--,-365774103919485.0,-601711185359919.0
BUENOS AIRES,Tapalqué,Tapalqué,7444,--,--,--,--,SI,--,SI,SI,-363573669882462.0,-600247443487218.0
