Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Monte Hermoso,Monte Hermoso,369,0,0,4971,0,0,0,0,5340
BUENOS AIRES,Moreno,Cuartel V,0,31,4,631,0,0,0,145,811
BUENOS AIRES,Moreno,Francisco Alvarez,978,4440,10,1146,98,0,0,199,6871
BUENOS AIRES,Moreno,La Reja,61,5062,8,2103,493,1,0,190,7918
BUENOS AIRES,Moreno,Moreno,440,49098,88,18343,268,3,0,719,68959
BUENOS AIRES,Moreno,Paso Del Rey,0,6523,0,1763,0,3,0,100,8389
BUENOS AIRES,Moreno,Trujui,240,3364,14,12338,2,0,0,130,16088
BUENOS AIRES,Morón,Castelar,6,18765,0,11020,12,0,0,100,29903
BUENOS AIRES,Morón,El Palomar,205,9214,4,4372,9,1,0,19,13824
BUENOS AIRES,Morón,Haedo,277,9887,102,13355,107,0,0,33,23761
BUENOS AIRES,Morón,Moron,844,20837,71,24863,88,3,0,14,46720
BUENOS AIRES,Morón,Villa Sarmiento,15,4810,19,4859,0,1,0,91,9795
BUENOS AIRES,Navarro,Las Marianas,0,0,0,0,0,0,0,207,207
BUENOS AIRES,Navarro,Navarro,392,1728,3,1530,0,1,0,252,3906
BUENOS AIRES,Navarro,Villa Moll  (Est. Moll),0,0,0,6,0,0,0,168,174
BUENOS AIRES,Navarro,José Juan Almeyra,0,0,0,0,0,0,0,99,99
BUENOS AIRES,Necochea,Claraz,0,0,0,0,0,0,0,105,105
BUENOS AIRES,Necochea,Juan N. Fernández,525,0,0,0,0,2,0,113,640
BUENOS AIRES,Necochea,Necochea - Quequén,3257,4293,155,14085,156,1,0,2182,24129
BUENOS AIRES,Necochea,Nicanor Olivera  (Est. La Dulce),1,0,2,0,0,0,0,713,716
BUENOS AIRES,Necochea,OTROS,0,0,0,0,0,0,0,16,16
BUENOS AIRES,Necochea,Costa Bonita,0,0,0,0,0,0,0,14,14
BUENOS AIRES,Necochea,Energía,0,0,0,0,0,0,0,13,13
BUENOS AIRES,Olavarría,Hinojo,13,0,0,0,0,1,0,0,14
BUENOS AIRES,Olavarría,Olavarría,3654,18385,6,2080,65,5,0,0,24195
BUENOS AIRES,Olavarría,Sierra Chica,0,505,0,0,0,0,0,0,505
BUENOS AIRES,Olavarría,Sierras Bayas,272,0,1,0,0,0,0,0,273
BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,194,0,0,0,0,0,0,0,194
BUENOS AIRES,Olavarría,Colonia Hinojo,0,0,0,0,0,0,0,1,1
BUENOS AIRES,OTROS,OTROS,7,0,0,0,28954,0,0,0,28961
BUENOS AIRES,Patagones,Bahía San Blas,0,0,1,0,0,0,0,4,5
BUENOS AIRES,Patagones,Carmen de Patagones,1112,0,26,4159,29,1,0,11,5338
BUENOS AIRES,Patagones,José B. Casas,0,0,0,0,1,0,0,5,6
BUENOS AIRES,Patagones,Juan A. Pradere,0,84,0,0,1,0,0,4,89
BUENOS AIRES,Patagones,Stroeder,0,0,1,452,1,0,0,173,627
BUENOS AIRES,Patagones,Villalonga,117,0,7,749,0,0,0,245,1118
BUENOS AIRES,Pehuajó,Chiclana,0,0,0,0,0,0,0,9,9
BUENOS AIRES,Pehuajó,Francisco Madero,0,0,1,0,0,0,0,3,4
BUENOS AIRES,Pehuajó,Juan José Paso,0,0,0,28,0,0,0,385,413
BUENOS AIRES,Pehuajó,Magdala,0,0,0,0,0,0,0,7,7
BUENOS AIRES,Pehuajó,Mones Cazón,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pehuajó,Pehuajó,4347,1,68,5,69,0,0,265,4755
BUENOS AIRES,Pehuajó,San Esteban,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pehuajó,Capitán Castro,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pehuajó,Inocencio Sosa,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pehuajó,Nueva Plata,0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pehuajó,San Bernardo  (Est. Guanaco),0,0,0,0,0,0,0,3,3
BUENOS AIRES,Pellegrini,Pellegrini,311,797,5,0,0,3,0,32,1148
BUENOS AIRES,Pergamino,Acevedo,115,153,0,0,0,0,0,184,452
BUENOS AIRES,Pergamino,Fontezuela,33,0,0,96,0,0,0,4,133
BUENOS AIRES,Pergamino,Guerrico,0,61,0,0,0,0,0,54,115
BUENOS AIRES,Pergamino,Juan A. de la Peña,0,0,0,0,0,0,0,51,51
BUENOS AIRES,Pergamino,Juan Anchorena  (Est. Urquiza),71,0,0,217,0,0,0,5,293
BUENOS AIRES,Pergamino,La Violeta,0,0,0,0,0,1,0,0,1
BUENOS AIRES,Pergamino,Manuel Ocampo,0,0,0,448,0,0,0,44,492
BUENOS AIRES,Pergamino,Mariano H. Alfonzo  (Est. San Patricio),0,0,0,0,0,1,0,0,1
BUENOS AIRES,Pergamino,Pergamino,2564,18621,82,800,82,2,0,524,22675
BUENOS AIRES,Pergamino,Pinzón,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Pergamino,Rancagua,109,0,0,102,0,1,0,0,212
BUENOS AIRES,Pergamino,Villa San José,0,0,0,3,0,0,0,0,3
BUENOS AIRES,Pila,Casalins,0,0,0,0,0,0,0,5,5
BUENOS AIRES,Pila,Pila,0,0,1,1,0,0,0,48,50
BUENOS AIRES,Pilar,Del Viso,18509,3181,0,17,1,0,0,553,22261
BUENOS AIRES,Pilar,Fátima,40,52,0,22,0,0,0,2,116
BUENOS AIRES,Pilar,La Lonja,3245,1406,0,19,0,0,0,467,5137
